"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRINITY_DN1035_c0_g1",1.13965704436332,-1.21384918321574,2.08350104124082,-0.58260070870559,0.560162128212537,NA
"TRINITY_DN1035_c0_g2",1.16457819739632,1.14501277879425,2.03056075161057,0.56388993921313,0.572829037431441,NA
"TRINITY_DN10350_c0_g1",0.282321419491592,0.184244095067135,3.81694647031143,0.0482700233027114,0.961501044633935,NA
"TRINITY_DN10351_c0_g1",0.57292779322806,-1.07278085385933,2.80597106707714,-0.382320711160005,0.702223494164855,NA
"TRINITY_DN10352_c0_g1",1.0053385973284,-0.907745729799682,2.32423253497335,-0.39055719087509,0.696124573929046,NA
"TRINITY_DN10353_c0_g1",0.431390627144282,-0.525899587632299,3.62198531875915,-0.145196498977656,0.884555730054399,NA
"TRINITY_DN10354_c0_g1",0.84488220585417,1.44053090485373,2.5852341349377,0.55721487094183,0.577380630546752,NA
"TRINITY_DN10356_c0_g1",1.00390135006104,-0.0511670674533387,2.26363394088831,-0.0226039495737811,0.981966193329453,NA
"TRINITY_DN10357_c0_g1",0.720758556743473,2.12947084484819,2.70022191145497,0.788628088608008,0.430329409033794,NA
"TRINITY_DN10358_c0_g1",0.581389319242468,0.400154230021338,3.22996096989457,0.123888255539633,0.901403752028336,NA
"TRINITY_DN10359_c0_g1",1.02861644811351,-3.31478077068724,2.41838133876012,-1.37066091172648,0.170480685230147,NA
"TRINITY_DN1036_c0_g1",1.72913007201499,-0.667584227968309,1.84830409364372,-0.361187442187742,0.717959329090636,NA
"TRINITY_DN10360_c0_g1",1.57110577311226,-0.432420919189769,1.69716118833351,-0.254790718855865,0.798884744035016,NA
"TRINITY_DN10362_c0_g1",0.560386180177409,2.80941590716106,3.47854906272864,0.80764015585202,0.419297763186567,NA
"TRINITY_DN10363_c0_g1",0.867729354403544,0.404082799534646,2.37855639784891,0.1698857340108,0.865100000641896,NA
"TRINITY_DN10364_c0_g1",1.14982698419718,-1.18488881813371,2.56539432380278,-0.461873953309956,0.644171713568391,NA
"TRINITY_DN10365_c0_g1",0.291466322666829,0.184431918324471,3.81694647031143,0.0483192310290436,0.961461828309013,NA
"TRINITY_DN10366_c0_g1",0.443709299112497,-2.10082367205643,3.5367845561413,-0.593992548516573,0.552517096840795,NA
"TRINITY_DN10367_c0_g1",0.872934848915092,-1.86026082305175,2.29978956512792,-0.808883060980527,0.418582413156671,NA
"TRINITY_DN10368_c0_g1",1.43476942710501,-3.79992723763652,2.03173154992485,-1.87029001827386,0.0614435549201426,NA
"TRINITY_DN10369_c0_g1",0.293887580309224,-1.51408937232975,3.81394903172402,-0.396987311507238,0.691376817395649,NA
"TRINITY_DN1037_c0_g1",2.13971428283974,0.6076558401238,1.74561711623995,0.348103736191983,0.727762278531683,NA
"TRINITY_DN10370_c0_g1",1.27678165149083,3.10917157443244,2.04517528641276,1.52024699060682,0.128448911319709,NA
"TRINITY_DN10371_c0_g1",0.866516014031511,-1.83901573666694,2.63021597697054,-0.699188109557871,0.484434480464796,NA
"TRINITY_DN10372_c0_g1",0.832934808244067,3.38264215513157,2.50882376333476,1.34829803693956,0.177562543270213,NA
"TRINITY_DN10373_c0_g1",1.28131383563502,-0.645546971137193,1.94337043168732,-0.332179064068964,0.739754051513355,NA
"TRINITY_DN10374_c0_g1",1.31669905707945,-1.44122059658314,2.03461750731744,-0.708349648717676,0.4787281523206,NA
"TRINITY_DN10375_c0_g1",0.731455131737019,-2.8236818991947,2.70500797830078,-1.0438719300815,0.296544646628028,NA
"TRINITY_DN10376_c0_g1",1.29761871628043,2.23599002689956,2.08852208091482,1.07060875598699,0.284345384785178,NA
"TRINITY_DN10377_c0_g1",0.574529113934828,1.70247063833397,2.93533090021765,0.579992749099507,0.561919507523852,NA
